SpType Temp
O. 45000
O5 40000
O6 37000
O7 35000
O8 34000
O9 33000
B0 30000
B1 25400
B2 22000
Be 20000
Bp 20000
B 20000
B3 18700
B4 17000
B5 15400
B6 14000
B7 13000
B8 11900
B9 10500
A0 9520
A1 9230
A2 8970
A3 8720
AP 8500
Am 8500
AV 8500
A 8500
A4 8500
A5 8200
A6 8000
A7 7850
A8 7580
A9 7400
F0 7200
F1 7000
F2 6890
F. 6700
FV 6700
F 6700
F3 6700
F4 6500
F5 6440
F6 6350
F7 6275
F8 6200
G0 6030
F9 5900
G1 5449
G2 5338
G3 5227
G 5200
G4 5115
G5 5004
G6 4893
G7 4782
G8 4670
G9 4559
K0 4534
K1 4510
K 4500
KP 4500
K2 4370
K3 4230
K4 4090
PE 4000
K5 3920
MI 3900
M. 3900
M: 3900
Ms 3900
Me 3900
MA 3900
MB 3900
MC 3900
MD 3900
K6 3878
K7 3878
M0 3878
M1 3835
K8 3800
M2 3740
M3 3675
M4 3595
M5 3470
M 3450
M6 3380
M7 3210
M8 3112
M9 3001
R5 3000
R8 3000
S4 3000
S5 3000
NI 3000
N 3000
N. 3000
Ne 3000
Nv 3000
R 3000
R. 3000
Rp 3000
Rv 3000
S6 3000
S7 3000
S8 3000
S3 3000
WC 3000
S+ 3000
S 3000
S. 3000
S: 3000
Sp 3000
Se 3000
Ss 3000
Sv 3000
C+ 3000
C 3000
C. 3000
Ce 3000
CI 3000
Cm 3000
Cv 3000
C4 3000
C5 3000
C6 3000
C7 3000
N8 3000
NP 3000
NA 3000
NB 3000
N0 3000
N3 3000
N5 3000

References (loosely): Dyck et al. (1996), Allen (1976)


