225132  | 301     | 2 Cet
225180  | 330     | 9 Cas
225212  | 355     | 3 Cet
144     | 531     | 10 Cas
358     | 677     | alpha And
432     | 746     | beta Cas
571     | 841     | 22 And
693     | 910     | 6 Cet
905     | 1086    | 23 And
1038    | 1170    | 7 Cet
1404    | 1473    | sigma And
1438    | 1501    | 26 And
1522    | 1562    | iota Cet
1671    | 1686    | rho And
1835    | 1803    | 9 Cet
2011    | 1960    | 12 Cas
2273    | 2100A   | 10A Cet
2629    | 2343    | 11 Cet
2637    | 2353    | 12 Cet
2628    | 2355    | 28 And
2729    | 2474    | 13 Cas
2772    | 2505B   | lambda B Cas
2772    | 2505A   | lambda A Cas
2905    | 2599    | kappa Cas
3038    | 2707A   | 16A Cas
3196    | 2762A   | 13A Cet
3196    | 2762B   | 13B Cet
3229    | 2787    | 14 Cet
3369    | 2920    | zeta Cas
3512    | 2994    | 15 Cet
3546    | 3031    | epsilon And
3627    | 3092    | delta And
3712    | 3179    | alpha Cas
3817    | 3231    | 32 And
3901    | 3300    | xi Cas
4058    | 3414    | pi Cas
4128    | 3419    | beta Cet
4188    | 3455    | phi 1   Cet
4180    | 3504    | omicron Cas
4307    | 3559    | 18 Cet
4161    | 3572    | 21 Cas
4502    | 3693    | zeta And
4382    | 3721    | 23 Cas
4636    | 3801    | nu Cas
4614    | 3821B   | eta BCas
4614    | 3821A   | eta A Cas
4727    | 3881    | nu And
4813    | 3909    | phi 2 Cet
5112    | 4147    | 20 Cet
5268    | 4257    | 21 Cet
5286    | 4288A   | 36 A And
5286    | 4288B   | 36 B And
5234    | 4292    | upsilon 1 Cas
5437    | 4371    | phi 3 Cet
5395    | 4422    | upsilon 2 Cas
5394    | 4427    | gamma Cas
5448    | 4436    | mu And
5516    | 4463    | eta And
5722    | 4587    | phi 4 Cet
6116    | 4903    | 39 And
6203    | 4914    | 25 Cet
6288    | 4979    | 26 Cet
6482    | 5121    | 27 Cet
6530    | 5164    | 28 Cet
6706    | 5296    | 30 Cet
6734    | 5315    | 29 Cet
6658    | 5317    | 41 And
6582    | 5336    | mu Cas
6805    | 5364    | eta Cet
6811    | 5434A   | phi A And
6811    | 5434B   | phi B And
6860    | 5447    | beta And
6976    | 5485    | 32 Cet
6920    | 5493    | 44 And
7014    | 5510    | 33 Cet
6829    | 5518    | 31 Cas
6961    | 5542    | theta Cas
7019    | 5550    | 45 And
6972    | 5589    | 32 Cas
7147    | 5594    | 34 Cet
7218    | 5646    | 35 Cet
7268    | 5666    | 36 Cet
7439    | 5799    | 37 Cet
7476    | 5833    | 38 Cet
7672    | 5951    | 39 Cet
7727    | 5985    | 40 Cet
7812    | 6048    | 41 Cet
8036    | 6226    | 42 Cet
7927    | 6242    | phi Cas
8003    | 6312    | 35 Cas
8207    | 6411    | xi And
8335    | 6429    | 43 Cet
8374    | 6514    | 47 And
8512    | 6537    | theta Cet
8511    | 6539    | 44 Cet
8705    | 6670    | 46 Cet
8538    | 6686    | delta   Cas
8491    | 6692    | psi Cas
8829    | 6748    | 47 Cet
8799    | 6813    | omega And
9132    | 6960    | 48 Cet
9057    | 6999    | 49 And
9021    | 7078    | 38 Cas
9408    | 7294    | chi Cas
9672    | 7345    | 49 Cet
9856    | 7450    | 50 Cet
9826    | 7513    | upsilon And
9927    | 7607    | 51 And
9774    | 7650    | 40 Cas
10072   | 7719    | chi And
10205   | 7818    | tau And
10221   | 7965    | 43 Cas
10250   | 8016    | 42 Cas
10425   | 8046    | 44 Cas
10700   | 8102    | tau Cet
10982   | 8387    | 4 Ari
11171   | 8497    | chi Cet
11155   | 8544    | 1B Ari
11154   | 8544    | 1A Ari
11353   | 8645    | zeta Cet
11428   | 8814    | 55 And
11502   | 8832B   | gamma 1 Ari
11503   | 8832A   | gamma 2 Ari
11415   | 8886    | epsilon Cas
11636   | 8903    | beta Ari
11763   | 8993    | 7 Ari
11727   | 9001    | 56B And
11529   | 9009    | omega   Cas
11749   | 9021    | 56A And
11930   | 9061    | 56 Cet
11909   | 9110    | iota Ari
11973   | 9153    | lambda Ari
12020   | 9165B   | 58B Cet
12020   | 9165A   | 58A Cet
12255   | 9326    | 57 Cet
12274   | 9347    | upsilon Cet
12111   | 9480B   | 48B Cas
12111   | 9480A   | 48A Cas
12279   | 9564    | 52 Cas
12301   | 9573    | 53 Cas
12573   | 9589    | 60 Cet
12216   | 9598    | 50 Cas
12558   | 9621B   | 10B Ari
12558   | 9621A   | 10A Ari
12641   | 9631    | 61 Cet
12533   | 9640A   | gamma 1 And
12534   | 9640C   | gamma 2C And
12534   | 9640B   | gamma 2B And
12230   | 9727    | 47 Cas
12339   | 9763    | 49 Cas
12441   | 9802    | 51 Cas
12869   | 9836    | kappa Ari
12885   | 9859    | 11 Ari
12929   | 9884    | alpha Ari
13041   | 9977    | 58 And
12800   | 10031   | 54 Cas
13228   | 10033   | 62 Cet
13174   | 10053   | 14 Ari
13325   | 10155   | 15 Ari
13294   | 10176   | 59 A And
13295   | 10180   | 59 B And
13363   | 10203   | 16 Ari
13421   | 10212   | 64 Cet
13468   | 10234   | 63 Cet
13612   | 10303   | 66 B Cet
13612   | 10305   | 66 A Cet
13555   | 10306   | eta Ari
13611   | 10324   | x 1 Cet
13596   | 10328   | 19 Ari
13520   | 10340   | 60 And
13474   | 10438   | 55 Cas
13872   | 10535A  | 21 A Ari
13872   | 10535B  | 21 A Ari
13871   | 10540   | 20 Ari
14129   | 10642   | 67 Cet
14191   | 10732   | theta Ari
14305   | 10810   | 23 Ari
14212   | 10819   | 62 And
14386   | 10826   | omicron Cet
14392   | 10944   | 63 And
14652   | 11021   | 69 Cet
14690   | 11046   | 70 Cet
14770   | 11220   | 64 And
14951   | 11249   | xi Ari
15004   | 11261   | 71 Cet
14872   | 11313   | 65 And
15130   | 11345   | rho Cet
15138   | 11465   | 66 And
15318   | 11484   | xi 2 Cet
15089   | 11569A  | iota A Cas
15089   | 11569B  | iota B Cas
15550   | 11678   | 26Ari
15596   | 11698   | 27Ari
15798   | 11783   | sigma Cet
15779   | 11791   | 75 et
15814   | 11843   | 29 Ari
16074   | 12002   | 77 Cet
16141   | 12048   | 79 Cet
16161   | 12093   | nu Cet
16212   | 12107   | 80 Cet
16234   | 12153   | 31 Ari
16232   | 12184   | 30B Ari
16246   | 12189   | 30A Ari
16400   | 12247   | 81 Cet
16432   | 12332   | nu Ari
16582   | 12387   | delta Cet
16620   | 12390B  | epsilon B Cet
16620   | 12390A  | epsilon A Cet
16628   | 12489   | 33 Ari
16765   | 12530B  | 84B Cet
16765   | 12530A  | 84A Cet
16811   | 12640   | mu Ari
16970   | 12706A  | gamma Cet
16908   | 12719   | 35 Ari
17081   | 12770   | pi Cet
17017   | 12784   | 36 Ari
17036   | 12803   | omicron Ari
17094   | 12828   | mu Cet
17093   | 12832   | 38 Ari
17361   | 13061   | 39 Ari
17459   | 13108   | 40 Ari
17543   | 13165A  | pi A Ari
17543   | 13165B  | pi B Ari
17573   | 13209   | 41 Ari
17769   | 13327   | sigma Ari
18091   | 13579   | 44 Ari
18191   | 13654   | 45 Ari
18256   | 13702   | rho Ari
18404   | 13834   | 47 Ari
18519   | 13914B  | epsilon B Ari
18520   | 13914A  | epsilon A Ari
18604   | 13954   | lambda Cet
18654   | 14021A  | 50 A Ari
18654   | 14021B  | 50 B Ari
18769   | 14109   | 49 Ari
18884   | 14135   | alpha Cet
18883   | 14143   | 93 Cet
18803   | 14150   | 51 Ari
19134   | 14376A  | 52 A Ari
19135   | 14376B  | 52 B Ari
19374   | 14514   | 53 Ari
19460   | 14586   | 54 Ari
19548   | 14677   | 55 Ari
19787   | 14838   | delta Ari
19994   | 14954   | 94 Cet
20150   | 15110   | zeta Ari
20559   | 15383A  | 95A Cet
20559   | 15383B  | 95B Cet
20630   | 15457   | kappa Cet
20618   | 15514   | 59 Ari
19978   | 15547   | 47 Cep
20663   | 15557   | 60 Ari
20791   | 15619   | 97 Cet
20756   | 15627B  | tau B Ari
20756   | 15627A  | tau A Ari
20825   | 15696   | 62 Ari
20893   | 15737A  | 63A Ari
21017   | 15861   | 64 Ari
21050   | 15870   | 65 Ari
21467   | 16181A  | 66A Ari
21467   | 16181B  | 66B Ari
23401   | 17959   | gamma Cam
28873   | 21060   | delta Cae
28446   | 21148B  | 1B Cam
28446   | 21148A  | 1A Cam
29317   | 21727   | 3 Cam
29316   | 21730C  | 2C Cam
29316   | 21730A  | 2A Cam
29316   | 21730B  | 2B Cam
29875   | 21770   | alpha Cae
29992   | 21861   | beta Cae
30608   | 22280   | zeta Cae
30121   | 22287   | 4 Cam
30504   | 22453   | 1 Aur
30985   | 22488   | nu Cae
30834   | 22678   | 2 Aur
30614   | 22783   | alpha Cam
30958   | 22854   | 5 Cam
31189   | 22994   | 6 Cam
31398   | 23015   | iota Aur
31278   | 23040B  | 7B Cam
31278   | 23040A  | 7A Cam
31647   | 23179A  | omega A Aur
31579   | 23216   | 8 Cam
31761   | 23261B  | 5B Aur
31761   | 23261A  | 5A Aur
31780   | 23268   | 6 Aur
31964   | 23416   | epsilon Aur
32068   | 23453   | zeta Aur
31910   | 23522   | beta Cam
23831   | 23595   | gamma B Cae
23831   | 23595   | gamma A Cae
32343   | 23734   | 11 Cam
32357   | 23743   | 12 Cam
32630   | 23767   | eta Aur
32537   | 23783   | 9 Aur
33641   | 24340   | mu Aur
33296   | 24348   | 14 Cam
33959   | 24504   | 14 Aur
34029   | 24608   | alpha Aur
34642   | 24659   | omicron Col
34334   | 24727   | 16 Aur
34364   | 24740   | 17 Aur
34411   | 24813   | lambda Aur
34499   | 24832   | 18 Aur
34233   | 24836   | 15 Cam
34578   | 24879   | 19 Aur
34759   | 25048   | rho Aur
35076   | 25192   | 22 Aur
34787   | 25197   | 16 Cam
35186   | 25292   | sigma Aur
35620   | 25541   | phi Aur
35583   | 25769   | 17 Cam
36597   | 25859   | epsilon Col
36066   | 25973   | 18 Cam
36371   | 25984   | chi Aur
36570   | 26408A  | 19A Cam
36570   | 26408B  | 19B Cam
37430   | 26412   | nu 1 Col
36770   | 26426   | 20 Cam
37495   | 26460   | nu 2 Col
37269   | 26536C  | 26C Aur
37269   | 26536B  | 26B Aur
37269   | 26536A  | 26A Aur
37070   | 26587   | 22 Cam
37795   | 26634   | alpha Col
37136   | 26700   | 21 Cam
37601   | 26942   | 24 Cam
37638   | 27046   | 23 Cam
38104   | 27196   | omicron Aur
38666   | 27204   | mu Col
38091   | 27249   | 26 Cam
38129   | 27283   | 28 Cam
38604   | 27458   | 28 Aur
38656   | 27483   | tau Aur
38618   | 27592   | 29 Cam
39425   | 27628   | beta Col
38944   | 27639   | upsilon Aur
39003   | 27673   | nu Aur
38831   | 27731   | 30 Cam
39764   | 27810   | lambda Col
39283   | 27949   | xi Aur
39220   | 27971   | 31 Cam
40176   | 28010   | xi Col
40248   | 28098   | sigma Col
40494   | 28199   | gamma Col
40808   | 28328   | eta Col
40035   | 28358   | delta Aur
40183   | 28360   | beta Aur
40312   | 28380   | theta Aur
40239   | 28404   | pi Aur
40394   | 28499   | 36 Aur
40801   | 28677   | 38 Aur
41074   | 28823   | 39 Aur
41357   | 28946   | 40 Aur
42078   | 28957   | pi 1 Col
42167   | 29034   | theta Col
42303   | 29064   | pi 2 Col
41597   | 29246   | 37 Cam
41783   | 29315   | 38 Cam
41782   | 29348   | 39 Cam
42127   | 29388A  | 41A Aur
42126   | 29388B  | 41B Aur
41927   | 29490   | 36 Cam
43039   | 29696   | kappa Aur
42633   | 29730   | 40 Cam
43785   | 29807   | kappa Col
43244   | 29884   | 42 Aur
43380   | 29949   | 43 Aur
44402   | 30122   | zeta CMa
43905   | 30247   | 45 Aur
44762   | 30277   | delta Col
44743   | 30324   | beta CMa
45348   | 30438   | alpha Car
44537   | 30520   | psi 1 Aur
45813   | 30788   | lambda CMa
45412   | 30827   | 48 Aur
45466   | 30972   | 47 Aur
46328   | 31125   | xi 1 CMa
46933   | 31416   | xi 2 CMa
46553   | 31434   | 49 Aur
47138   | 31560   | nu 1 B CMa
47138   | 31564   | nu 1 A CMa
47205   | 31592   | nu 2 CMa
47442   | 31700A  | nu 3A CMa
47152   | 31737A  | 53A Aur
47070   | 31771   | 51 Aur
47100   | 31789   | psi 3 Aur
47174   | 31832   | psi 2 Aur
47395   | 31852A  | 54A Aur
47395   | 31852B  | 54B Aur
47005   | 31944   | 41 Cam
47914   | 32173   | psi 4 Aur
48917   | 32292   | 10 CMa
48915   | 32349   | alpha CMa
48682   | 32480   | psi 5 Aur
49229   | 32492   | 11 CMa
49333   | 32504   | 12 CMa
48781   | 32562   | psi 6 Aur
50013   | 32759   | kappa CMa
49520   | 32844   | psi 7 Aur
48879   | 32864   | 42 Cam
50018   | 33041   | 59 Aur
50037   | 33064A  | 60A Aur
50707   | 33092   | 15 CMa
49340   | 33104   | 43 Cam
50204   | 33133   | psi 8 Aur
50877   | 33152   | omicron 1 CMa
50778   | 33160   | theta CMa
