h29675
s 00209/00000/00000
d D 1.1 99/12/02 15:59:30 jmochel 2 1
cC
cK57344
cO-rw-rw-rw-
e
s 00000/00000/00000
d D 1.0 99/12/02 15:59:27 jmochel 1 0
c BitKeeper file G:/SpaceHybrid/worlds/confed/hist.csv
cBjmochel@devilmountain.bedford.foliage.com|ChangeSet|19991202203126|52994|e2968a7f5cb68f67
cHdevilmountain.bedford.foliage.com
cK44997
cPworlds/confed/hist.csv
cReb4786245cb68f68
cZ-05:00
c______________________________________________________________________
e
u
U
f e 0
f x 33
t
T
I 2
1996/11/2,1,Explosion of the Super Pheonix,France suffers from the explosion and destruction of the ``Super Pheonix'' reactor
1996/12/24,4,Cloning of Ceolecanth,Japan announces successful cloning of Coelecanth. Coelecanth lives 6 days.
1997/12/12,4,Summation Theory of Genetic Drift,Jonathan Quest presents his basic drift model and is blacklisted by all major scientific organizations
1998/11/4,2,Poland joins EEEC,Poland becomes a member of the EEC
1998/10/11,2,Mohawk Brushfire War,Renewed hostilities between Mohawk nation and Quebec.
1996/3/23,4,1st Cyber Hookup,MIT scientists produce crude cybernetic machine-brain interface. Yes-No level of clarity at low percentages possible.
1997/6/7,4,Room Temperature Superconductor,Low Temperature Superconductor (214\degree K) discovered by An Tsien
1997/10/7,4,Null Clock Logic,Null Clock Logic is demonstrated as a alternative logic for computation hardware.
1999/2/3,1,Shoreham Disaster,Long Island Blast - Detonation of Shoreham fission plant.  accident ? 180 000 killed.
1999/2/3,4,Cryo-blood, Blood factor used by fish for surviving temperatures below freezing is isolated.
1999/2/23,2,SAUEE Established,South American University of Ecological Engineering (SAUEE) established in Costa Rica
1998/11/09,1,Costa Rica preserve,Costa Rica is purchased by the Nature Conservancy and established as a live-in preserve.
1999/6/6,1,Fission Ban,Anti-Fission Referendum Approved in the USA
1999/1/10,1,Apartheid Inversion,Johannesburg established as only legal residence for whites in South Africa.
2000/11/7,0,Assassination of Pres. Schroeder,Assassination of USA president Pat Schroeder.
2000/11/7,0,Start of the Storm Age,Start of the greatest loss of live since the black death
2000/7/1,4,Cyber Hookup ,Combined Japanese-Korean team demonstrates cybernetic helmet hookup. Requires a great deal of training.
2000/8/15,2,Tycho Brachae Base,U.N. Research and observation base at tycho Brachae is established
2000/10/16,1,Somalian Desertification,Desertification renders large parts of Somalia and Nigeria uninhabitable
2000/12/16,1,Nigerian Desertification,Desertification renders large parts of Somalia and Nigeria uninhabitable
2000/12/12,4,Tristamy-13 reconstruction,First reconstruction of Tristamy 13 fetus
2000/1/11,1,Aids-2,Increasing virulent strains of Aquired Immuno Deficiency virus surface
2000/7/3,1,Andes Plague,Argentina announces first cases of what is later to be described as Andes plague
2000/9/10,3,1st Coporate Army,General Electric establishes its own armed security force in South America
2001/3/13,3,1st of the Vatican-gate coverups,Two prominent Catholic church officials die in Boston and NYC of AIDS
2001/8/9,1,Israel Invaded ,Israel invaded by Libya and Syria
2002/1/1,2,NorAm Combine Formed,USA and Canada  merge their current economic systems. 
2002/6/7,3,US Goes metric.,US Goes metric.
2003/1/1,2,Quebec Secedes,Quebec Secedes from Canada
2003/9/11,2,2nd Corporate Army,Time-Horner establishes armed security force in Saudi-Arabia
2003/2/4,2,California Secedes,California Secedes from USA
2005/2/1,4,Optical Plaque Memory, Biologically based optically plaque memory makes terabyte RAMs possible. Getting data in and out becomes the sticking point.
2007/10/12,3,1st L-5 Station,First L-5 orbiting station  ``Lagrange-Five'' made operational by NorAm Combine.
2007/12/30,1,UN leaves NYC,NYC asks UN to vacate
2007/2/12,4,1st Usable basic cyber hookup,Japanese-Korean team demonstrates basic cybernetic helmet hookup. Usable for VR directional work etc.
2008/1/1,4,Mirashi SunScreen,Mirashi SunScreen invented by Sanford Ezekial Jackl. 
2008/1/12,2,UN Establishes Point 7,U.N. Establishes its Meeting site at Point 7  Antartica
2009/12/1,2,1st International L-5,L-5 station brought up by U.N. Joint Technology Mission  SAUEE and Australian Mining
2011/1/1,3,Sunscreen Power Plant,G.E. puts first Mirashi Sun Screen power plant online from Los Alamos  Texas.
2011/4/21,1,Deng Gorge Virus, A 60% fatality rate encephalitis strikes throughout most of Asia major.
2012/11/3,4,1st Preconstruction of Human Fetus,Human Fetus is designed to display specific traits. Only marginally succesful.
2008/11/21,2,California rejoins US,California is brought back into the US by use of Blockade.
2013/1/1,3,VMOP Demonstrated,Cray VMOP-40 put online at Socorro Research Center New Mexico . 
2013/10/2,3,Prototype Screen Shuttle,General Dynamics demonstrates the first prototype ``Screen-Shuttle''
2014/5/30,1,Quebec Food riot,Quebec Food riots
2014/3/22,2,Assassination of Soviet Secretary General,Soviet Secretary General Gosseyn is killed as a result of terrorist bombing. 
