Hip|HD|BayerFlamsteed|ProperName
||Sol|Sol
     2|224690||
     3|224699||
    11|224720||
    14|224726||
    19|224721||
    25|224750|          | 
    34|224758|          | 
    38|224752||
    39|224763||
    43|224784|          | 
    47| ||
    48|224780||
    50|224782||
    54| ||
    55|224783||
    57|224789||
    58|224792||
    63|224801|          | 
    68|224808||
    73|224826||
    74| ||
    75|224821||
    81|224828||
    88|224834|   Tau Phe| 
    99|224855||
   102|224850||
   106|224870|          | 
   107|224865|          | 
   109|224875||
   110|224873||
   111| ||
   112| || 
   115|224878||
   119|224894||
   121|224895||
   122|224889|   The Oct| 
   123|224891||
   124|224893|          | 
   128|224890||
   133|224914||
   135|224908||
   136|224907||
   137|224906|          | 
   142|224918||
   143| ||
   145|224926| 29    Psc| 
   149| || 
   150|224936|| 
   154|224935| 30    Psc| 
   158|224949||
   159|224945||
   169|224953|| 
   171|224930| 85    Peg| 
   179|224974||
   181|224980||
   183|224990|   Zet Scl| 
   184|224983||
   186|224995| 31    Psc| 
   191| ||
   194|225003| 32    Psc| 
   199|225001||
   207|225009|          | 
   209|225010||
   217|225019||
   223|225028||
   238|225045|          | 
   253|225069|          | 
   254|225068||
   258|225073||
   263| ||
   270|225093||
   274|225094|          | 
   276|225097||
   277|225101||
   283|225107||
   296|225118||
   297|225124||
   301|225132|  2    Cet| 
   300|225125||
   302|225136|          | 
   305|225155||
   308|225151||
   316|225161||
   323|225172||
   328|225187||
   330|225180|  9    Cas| 
   343|225197|          | 
   345|225200|          | 
   350| ||
   351|225208||
   355|225212|  3    Cet| 
   357|225233|          | 
   365|225218|          | 
   370|225251||
   372|225252||
   374|225220||
   377|225253|          | 
   378|225241||
   379|225216|          | 
   394|225239|          | 
   398|225257||
   399|225276|          | 
   400|225261|| 
   404|225291||
   407|225299||
   410|225292||
   417|     6|          | 
   418|225289|          | 
   420|    23||
   422|     1||
   424|     3||
   428| || 
   430|    21||
   432|    17||
   436|    55|| 
   440|    14||
   441|    32||
   443|    28| 33    Psc| 
   439|225213|| 
   445|    53||
   448|    43||
   454|    48||
   457|    66||
   458|    62||
   460|    40||
   462|    63||
   466|    58||
   468|    80||
   469|    79||
   472|    71||
   473|    38|| 
   475|    70||
   476|    87| 86    Peg| 
   490|   105||
   493|   101||
   495|   113||
   496|   100||
   502|   111||
   505|   108||
   508|   110||
   518|   123|          | 
   522|   142|          | 
   523| || 
   525|   145||
   529|   156||
   531|   144| 10    Cas| 
   540|   167||
   544|   166|          | 
   560|   203|          | 
   567|   213||
   581|   231||
   602|   256|          | 
   605|   273||
   606|   268||
   607|   249||
   612|   285||
   616|   283|| 
   619|   281||
   620|   385||
   625|   279||
   626|   290||
   631|   323||
   634|   292||
   635|   315|          | 
   636|   319|          | 
   641|   299||
   648|   369||
   652|   332||
   655|   344|          | 
   659|   341||
   664|   352|          | 
   669|   361||
   671|   360|          | 
   677|   358| 21Alp And|Alpheratz
   682|   377||
   687| || 
   689|   375||
   695|   371||
   696|   402|          | 
   698|   442||
   699|   400|          | 
   700|   406||
   701|   370||
   710|   418||
   714|   414||
   716|   417|          | 
   717|   422||
   720|   437||
   723|   404||
   724|   452||
   728|   434||
   729|   448| 87    Peg| 
   730|   469|          | 
   731| ||
   737|   445||
   738| || 
   740|   447||
   744|   480||
   746|   432| 11Bet Cas|Caph
   754|   471||
   755|   443||
   759|   483||
   760|   431|          | 
   761|   493|   Kap1Scl| 
   765|   496|   Eps Phe| 
   767|   487||
   769|   491||
   785|   538||
   787|   520||
   798|   565||
   803|   545||
   805|   563||
   813|   560| 34    Psc| 
   814|   636|   Gam3Oct| 
   818|   561||
   829|   626||
   838|   567||
   840|   587|          | 
   841|   571| 22    And| 
   852|   598||
   857|   584|          | 
   858|   613||
   860|   593||
   865|   661|          | 
   873|   645|          | 
   881|   656||
   897| || 
   898| ||
   900|   680||
   902|   663||
   906|   688||
   910|   693|  6    Cet| 
   916| || 
   918|   678||
   919|   691||
   924|   734||
   926|   711||
   930|   720|   Kap2Scl| 
   932|   731||
   933| ||
   934|   750||
   938|   783||
   940|   698||
   943|   727||
   945|   709||
   948| ||
