.Name Hammer Fist
.Type HTH
.Usage Swing
.DamageType Crush
.Length 0.1
.Mass 0.2 
.Symmetry VerySymmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Front Punch
.Type HTH
.Usage Thrust
.DamageType Crush
.Length 0.1
.Mass 0.2 
.Symmetry VerySymmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Front Snap Kick
.Type HTH
.Usage Swing
.DamageType Crush
.Length 0.3
.Mass 1 
.Symmetry Symmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name One Edged Dagger
.Type Blade
.Usage Thrust
.DamageType Pierce
.Length 0.2
.Mass 0.4 
.Symmetry Symmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Two Edged Dagger
.Type Blade
.Usage Thrust
.DamageType Pierce
.Length 0.2
.Mass 0.4
.Symmetry Symmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Kukri						   
.Type Blade
.Usage Swing
.DamageType Cut
.Length 0.5
.Mass  0.6
.Symmetry Symmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name One Edge Short Sword
.Type Blade
.Usage Swing
.DamageType Cut
.Length 0.7
.Mass 1.2
.Symmetry NotSymmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Two Edge Short Sword
.Type Blade
.Usage Swing
.DamageType Cut
.Length 0.7
.Mass 1.2
.Symmetry Symmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Saber						   
.Type Blade
.Usage Swing
.DamageType Cut
.Length 0.7
.Mass 1.3
.Symmetry Symmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Katana							
.Type Blade
.Usage Swing
.DamageType Cut
.Length 1.1
.Mass  1.4
.Symmetry NotSymmetrical
.MDist Uniform
.Hands 2
.EndWpn

.Name Bastard Sword
.Type Blade
.Usage Swing
.DamageType Cut
.Length 1
.Mass 2.1
.Symmetry  Symmetrical
.MDist Uniform
.Hands	2
.EndWpn

.Name Zwiehander						 
.Type Blade
.Usage Swing
.DamageType Cut
.Length 2
.Mass 6.3
.Symmetry Symmetrical
.MDist Uniform
.Hands 2
.EndWpn

// Sticks

.Name Cudgel
.Type Stick
.Usage Swing
.DamageType Crush
.Length 0.8
.Mass 1.0
.Symmetry Symmetrical
.MDist NotUniform
.Hands 2
.EndWpn

.Name Jo
.Type Stick
.Usage Swing
.DamageType Crush
.Length 1.2
.Mass	 0.8
.Symmetry VerySymmetrical
.MDist Uniform
.Hands 2
.EndWpn


.Name Mace
.Type Stick
.Usage Swing
.DamageType Crush
.Length 0.7
.Mass 2  
.Symmetry  Symmetrical
.MDist NotUniform
.Hands  1
.EndWpn

.Name Bokken
.Type Stick
.Usage Swing
.DamageType Crush
.Length 1
.Mass 0.8
.Symmetry NotSymmetrical
.MDist Uniform
.Hands 2
.EndWpn

.Name QuarterStaff					
.Type Stick
.Usage Swing
.DamageType Crush
.Length 1.8
.Mass 1.5
.Symmetry VerySymmetrical
.MDist Uniform
.Hands 2
.EndWpn

.Name Bo
.Type Stick
.Usage Swing
.DamageType Crush
.Length 2.8
.Mass	 1.4
.Symmetry VerySymmetrical
.MDist Uniform
.Hands 2
.EndWpn

// HaftedBlades

.Name One Bladed Axe
.Type HaftedBlade
.Usage Swing
.DamageType Cut
.Length 0.6
.Mass 1.6
.Symmetry NotSymmetrical
.MDist NotUniform
.Hands 2
.EndWpn

.Name Two Bladed Axe
.Type HaftedBlade
.Usage Swing
.DamageType Cut
.Length  0.6
.Mass 2.2
.Symmetry Symmetrical
.MDist NotUniform
.Hands 2
.EndWpn

.Name Francisca
.Type HaftedBlade
.Usage Swing
.DamageType Cut
.Length 0.5
.Mass 1.4
.Symmetry NotSymmetrical
.MDist NotUniform
.Hands 1
.EndWpn

.Name Pike
.Type HaftedBlade
.Usage Thrust
.DamageType Pierce
.Length 5.5
.Mass	 6.5
.Symmetry Symmetrical
.MDist Uniform
.Hands 2
.EndWpn

.Name Ball and Chain
.Type Flexible
.Usage Swing
.DamageType Crush
.Length 0.9
.Mass 2
.Symmetry NotSymmetrical
.MDist NotUniform
.Hands 1
.EndWpn

.Name Battle Axe
.Type HaftedBlade
.Usage Swing
.DamageType Cut
.Length 0.8
.Mass 2.1
.Symmetry NotSymmetrical
.MDist NotUniform
.Hands 1
.EndWpn

.Name Hatchet
.Type HaftedBlade
.Usage Swing
.DamageType Cut
.Length 0.3
.Mass 1.4
.Symmetry NotSymmetrical
.MDist NotUniform
.Hands 1
.EndWpn

.Name Nunchaku
.Type Flexible
.Usage Swing
.DamageType Crush
.Length 0.8
.Mass 1.0
.Symmetry VerySymmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Sai
.Type Stick
.Usage Swing
.DamageType Crush
.Length 0.6
.Mass 1.3
.Symmetry Symmetrical
.MDist NotUniform
.Hands 1
.EndWpn

.Name Boomerang
.Type Stick
.Usage Swing
.DamageType Crush
.Length 0.6
.Mass 0.4
.Symmetry NotSymmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Bullwhip
.Type Flexible
.Usage Swing
.DamageType Cut
.Length 2.5
.Mass 1.4
.Symmetry Symmetrical
.MDist Uniform
.Hands 1
.EndWpn

.Name Bardiche
.Type HaftedBlade
.Usage Swing
.DamageType Cut
.Length 2.1
.Mass 3.1
.Symmetry NotSymmetrical
.MDist NotUniform
.Hands 2
.EndWpn
