Memory  Mem
Stream  Stream
File    File
Func    Function
Proc    Process
Exception Exception
Error   Error
Pipe    Pipe
Imp     Implementation
Sub     Sub
Read    Read
Write   Write
Seq     Sequential
Seq     Sequence
Abs	    Abstract
Rgn	    Region
Get	    Get
Set	    Set
Bfr	    Buffer
Len	    Length
Size	Size
Pos	    Position
Avail	Available
Offset	Offset
Cnt	    Count
Pending	Pending
Rep	    Representation
Ref	    Reference
Use	    Use
Next	Next
List	List
Init	Initialize
Init	Initial
Deinit	Deinitialize
Callback Callback
Invoke  Invoke
Cfg     Config
Owner   Owner
Type    Type
What    What

