                                                                     Ease Factors
    SB    -10   -9   -8   -7   -6   -5   -4   -3   -2   -1    0    1    2    3    4    5    6    7    8    9   10   11   12   13
       3   18   17   17   17   16   16   16   15   15   15   15   14   14   14   13   13   13   12   12   12   12   11   11   11
       4   19   18   18   17   17   17   16   16   15   15   15   14   14   13   13   13   12   12   11   11   11   10   10    9
       5   20   19   19   18   18   17   17   16   16   15   15   14   14   13   13   12   12   11   11   10   10    9    9    8
       6   21   20   19   19   18   18   17   16   16   15   15   14   13   13   12   12   11   10   10    9    9    8    7    7
       7   22   21   20   19   19   18   17   17   16   15   15   14   13   12   12   11   10   10    9    8    8    7    6    5
       8   23   22   21   20   19   19   18   17   16   15   15   14   13   12   11   11   10    9    8    7    7    6    5    4
       9   24   23   22   21   20   19   18   17   16   15   15   14   13   12   11   10    9    8    7    6    6    5    4    3
      10   25   24   23   22   21   20   19   18   17   16   15   14   13   12   11   10    9    8    7    6    5    4    3    2
      11   26   24   23   22   21   20   19   18   17   16   15   13   12   11   10    9    8    7    6    5    4    2    1    0
      12   27   25   24   23   22   21   19   18   17   16   15   13   12   11   10    9    7    6    5    4    3    1    0   -0
      13   28   26   25   24   22   21   20   18   17   16   15   13   12   11    9    8    7    5    4    3    2    0   -0   -1
      14   29   27   26   24   23   22   20   19   17   16   15   13   12   10    9    8    6    5    3    2    1   -0   -1   -3
      15   30   28   27   25   24   22   21   19   18   16   15   13   12   10    9    7    6    4    3    1    0   -1   -3   -4
      16   31   29   27   26   24   23   21   19   18   16   15   13   11   10    8    7    5    3    2    0   -1   -2   -4   -5
      17   32   30   28   26   25   23   21   20   18   16   15   13   11    9    8    6    4    3    1   -0   -2   -3   -5   -7
      18   33   31   29   27   25   24   22   20   18   16   15   13   11    9    7    6    4    2    0   -1   -3   -4   -6   -8
      19   34   32   30   28   26   24   22   20   18   16   15   13   11    9    7    5    3    1   -0   -2   -4   -5   -7   -9
      20   35   33   31   29   27   25   23   21   19   17   15   13   11    9    7    5    3    1   -1   -3   -5   -7   -9  -11
